@relation 'census_income_data_2000_mockup-weka.filters.supervised.attribute.Discretize-R1,3,4,17,19,6,18,25-weka.filters.unsupervised.attribute.Remove-R16,25-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.supervised.attribute.Discretize-R38-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute education_AHGA {' Associates degree-occup /vocational',' Bachelors degree(BA AB BS)',' High school graduate',' Some college but no degree',' Masters degree(MA MS MEng MEd MSW MBA)',' Prof school degree (MD DDS DVM LLB JD)',' 1st 2nd 3rd or 4th grade',' Associates degree-academic program',' Doctorate degree(PhD EdD)',' 5th or 6th grade',' 9th grade',' 12th grade no diploma',' 11th grade',' 10th grade',' 7th and 8th grade',' Children',' Less than 1st grade'}
@attribute age_AAGE {(-inf-22.5],(22.5-27.5],(27.5-31.5],(31.5-66.5],(66.5-inf)}
@attribute tax_filer_status_FILESTAT {' Single',' Joint both under 65',' Joint both 65+',' Head of household',' Joint one under 65 & one 65+',' Nonfiler'}
@attribute detailed_household_summary_in_household_HHDREL {' Householder',' Spouse of householder',' Nonrelative of householder',' Child 18 or older',' Other relative of householder',' Child under 18 never married'}
@attribute detailed_household_and_family_stat_HHDFMX {' Nonfamily householder',' Householder',' Spouse of householder',' Secondary individual',' Child 18+ never marr Not in a subfamily',' Other Rel 18+ spouse of subfamily RP',' Other Rel 18+ ever marr not in subfamily',' RP of unrelated subfamily',' Child 18+ never marr RP of subfamily',' Other Rel 18+ ever marr RP of subfamily',' Child <18 never marr not in subfamily',' Child 18+ ever marr Not in a subfamily',' Grandchild <18 never marr child of subfamily RP',' Child 18+ spouse of subfamily RP',' Child under 18 of RP of unrel subfamily',' Other Rel <18 never marr child of subfamily RP',' Grandchild <18 never marr not in subfamily',' Other Rel 18+ never marr not in subfamily',' Grandchild 18+ never marr not in subfamily',' Child 18+ ever marr RP of subfamily',' Other Rel <18 spouse of subfamily RP'}
@attribute marital_status_AMARITL {' Separated',' Married-civilian spouse present',' Widowed',' Never married',' Divorced',' Married-spouse absent',' Married-A F spouse present'}
@attribute fill_inc_questionnaire_for_veteran_admin_VETQVA {0,1,2}
@attribute family_members_under_18_PARENT {' Not in universe',' Both parents present',' Mother only present',' Neither parent present',' Father only present'}
@attribute major_occupation_code_AMJOCC {' Precision production craft & repair',' Sales',' Executive admin and managerial',' Not in universe',' Farming forestry and fishing',' Technicians and related support',' Machine operators assmblrs & inspctrs',' Professional specialty',' Handlers equip cleaners etc ',' Protective services',' Transportation and material moving',' Other service',' Adm support including clerical',' Armed Forces',' Private household services'}
@attribute divdends_from_stocks_DIVVAL {(-inf-52],(52-inf)}
@attribute occupation_code_ADTOCC {(-inf-0.5],(0.5-18.5],(18.5-32.5],(32.5-inf)}
@attribute major_industry_code_AMJIND {' Communications',' Retail trade',' Other professional services',' Finance insurance and real estate',' Not in universe or children',' Education',' Manufacturing-durable goods',' Construction',' Public administration',' Agriculture',' Transportation',' Manufacturing-nondurable goods',' Business and repair services',' Personal services except private HH',' Entertainment',' Utilities and sanitary services',' Medical except hospital',' Wholesale trade',' Hospital services',' Social services',' Mining',' Forestry and fisheries',' Armed Forces',' Private household services'}
@attribute class_of_worker_ACLSWKR {' Private',' Self-employed-incorporated',' Not in universe',' Local government',' State government',' Self-employed-not incorporated',' Federal government',' Never worked',' Without pay'}
@attribute sex_ASEX {' Male',' Female'}
@attribute capital_gains_CAPGAIN {(-inf-7364],(7364-inf)}
@attribute live_in_this_house_1_year_ago_MIGSAME {' No',' Yes',' Not in universe under 1 year old'}
@attribute num_persons_worked_for_employer_NOEMP {0,1,2,3,4,5,6}
@attribute migration_code_change_in_msa_MIGMTR1 {' MSA to MSA',' Nonmover',' NonMSA to nonMSA',' Abroad to MSA',' NonMSA to MSA',' MSA to nonMSA',' Not in universe',' Not identifiable',' Abroad to nonMSA'}
@attribute migration_code_move_within_reg_MIGMTR4 {' Same county',' Nonmover',' Different state in South',' Different county same state',' Different state in Midwest',' Different state in West',' Abroad',' Different state in Northeast',' Not in universe'}
@attribute migration_code_change_in_reg_MIGMTR3 {' Same county',' Nonmover',' Different region',' Different division same region',' Different county same state',' Different state same division',' Abroad',' Not in universe'}
@attribute migration_prev_res_in_sunbelt_MIGSUN {' No',' Not in universe',' Yes'}
@attribute capital_losses_CAPLOSS {(-inf-1881.5],(1881.5-inf)}
@attribute veterans_benefits_VETYN {(-inf-38.5],(38.5-47.5],(47.5-inf)}
@attribute member_of_a_labor_union_AUNMEM {' Not in universe',' No',' Yes'}
@attribute country_of_birth_father_PEFNTVTY {' United-States',' Germany',' England',' Italy',' Poland',' China',' Canada',' Mexico',' Iran',' Philippines',' Thailand',' Dominican-Republic',' Puerto-Rico',' Ireland',' Portugal',' Nicaragua',' Vietnam',' Cuba',' Hungary',' India',' Cambodia',' Taiwan',' Peru',' Outlying-U S (Guam USVI etc)',' Jamaica',' South Korea',' Guatemala',' Scotland',' Columbia',' Japan',' El-Salvador',' Ecuador',' Trinadad&Tobago',' Honduras',' Yugoslavia',' Hong Kong',' Haiti',' France'}
@attribute country_of_birth_mother_PEMNTVTY {' United-States',' Hungary',' England',' Italy',' Germany',' Poland',' France',' China',' Canada',' Mexico',' Scotland',' Iran',' Philippines',' Thailand',' Ireland',' Dominican-Republic',' Puerto-Rico',' Portugal',' Nicaragua',' Vietnam',' Cuba',' India',' Cambodia',' Japan',' Taiwan',' Peru',' El-Salvador',' Hong Kong',' Jamaica',' South Korea',' Guatemala',' Columbia',' Yugoslavia',' Ecuador',' Trinadad&Tobago',' Honduras',' Haiti'}
@attribute enrolled_in_edu_inst_last_wk_AHSCOL {' Not in universe',' High school',' College or university'}
@attribute region_of_previous_residence_GRINREG {' Midwest',' Not in universe',' Northeast',' South',' West',' Abroad'}
@attribute hispanic_Origin_AREORGN {' All other',' Mexican-American',' Other Spanish',' Mexican (Mexicano)',' Puerto Rican',' NA',' Central or South American',' Cuban',' Chicano',' Do not know'}
@attribute citizenship_PRCITSHP {' Native- Born in the United States',' Native- Born abroad of American Parent(s)',' Foreign born- U S citizen by naturalization',' Foreign born- Not a citizen of U S ',' Native- Born in Puerto Rico or U S Outlying'}
@attribute country_of_birth_self_PENATVTY {' United-States',' England',' Italy',' Poland',' Japan',' Germany',' Canada',' Mexico',' Taiwan',' Iran',' Philippines',' Thailand',' Dominican-Republic',' Puerto-Rico',' Portugal',' Ireland',' Nicaragua',' Vietnam',' Cuba',' India',' Peru',' China',' Hong Kong',' Jamaica',' South Korea',' Guatemala',' Scotland',' Columbia',' El-Salvador',' Trinadad&Tobago',' Honduras',' Cambodia',' Haiti',' France',' Hungary'}
@attribute wage_per_hour_AHRSPAY {(-inf-212.5],(212.5-917.5],(917.5-1628.5],(1628.5-inf)}
@attribute mace_ARACE {' White',' Asian or Pacific Islander',' Black',' Amer Indian Aleut or Eskimo',' Other'}
@attribute own_business_or_self_employed_SEOTR {0,1,2}
@attribute taxable_income_amount_TAXINC {' Not in universe',' No',' Yes'}
@attribute state_of_previous_residence_GRINST {' Indiana',' Not in universe',' Connecticut',' Utah',' Minnesota',' Florida',' South Dakota',' New Mexico',' Oregon',' District of Columbia',' Oklahoma',' North Carolina',' Virginia',' Alaska',' Abroad',' Mississippi',' Kansas',' North Dakota',' West Virginia',' Michigan',' California',' Maine',' Arizona',' Colorado',' New Hampshire',' Arkansas',' New Jersey',' Montana',' Texas',' Massachusetts',' Iowa',' Wyoming',' Maryland',' New York',' Alabama',' Pennsylvania',' Idaho',' Louisiana',' Tennessee',' Nevada',' Kentucky',' Vermont',' Ohio',' South Carolina',' Georgia',' Missouri',' Delaware',' Illinois'}
@attribute industry_code_ADTIND {(-inf-1.5],(1.5-inf)}
@attribute reason_for_unemployment_AUNTYPE {' Not in universe',' Other job loser',' Job loser - on layoff',' Re-entrant',' Job leaver',' New entrant'}
@attribute Class {above,below}

@data
' Some college but no degree',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Retail trade',' Self-employed-incorporated',' Male',(-inf-7364],' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' Thailand',' Thailand',' Not in universe',' Not in universe',' All other',' Foreign born- Not a citizen of U S ',' Thailand',(-inf-212.5],' Asian or Pacific Islander',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Some college but no degree',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Manufacturing-nondurable goods',' Self-employed-not incorporated',' Male',(-inf-7364],' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Masters degree(MA MS MEng MEd MSW MBA)',(31.5-66.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Finance insurance and real estate',' Private',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(31.5-66.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Communications',' Private',' Female',(-inf-7364],' Yes',2,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(66.5-inf),' Joint both 65+',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Sales',(-inf-52],(0.5-18.5],' Business and repair services',' Self-employed-incorporated',' Male',(-inf-7364],' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(1881.5-inf),(47.5-inf),' Not in universe',' United-States',' England',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Sales',(52-inf),(0.5-18.5],' Finance insurance and real estate',' Self-employed-not incorporated',' Male',(-inf-7364],' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Masters degree(MA MS MEng MEd MSW MBA)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Precision production craft & repair',(52-inf),(32.5-inf),' Manufacturing-durable goods',' Private',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(-inf-38.5],' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Other job loser',above
' High school graduate',(31.5-66.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Precision production craft & repair',(52-inf),(32.5-inf),' Construction',' Private',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' Asian or Pacific Islander',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Manufacturing-durable goods',' Private',' Male',(-inf-7364],' No',4,' MSA to MSA',' Different county same state',' Different county same state',' Yes',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' South',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' South Dakota',(1.5-inf),' Not in universe',above
' Associates degree-academic program',(31.5-66.5],' Single',' Householder',' Nonfamily householder',' Divorced',2,' Not in universe',' Sales',(-inf-52],(0.5-18.5],' Finance insurance and real estate',' Private',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Prof school degree (MD DDS DVM LLB JD)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(52-inf),(0.5-18.5],' Other professional services',' Self-employed-not incorporated',' Male',(7364-inf),' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Masters degree(MA MS MEng MEd MSW MBA)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(52-inf),(0.5-18.5],' Education',' Private',' Male',(-inf-7364],' Yes',4,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(1881.5-inf),(47.5-inf),' Not in universe',' United-States',' Ireland',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',2,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Prof school degree (MD DDS DVM LLB JD)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(-inf-52],(0.5-18.5],' Hospital services',' Local government',' Male',(7364-inf),' Yes',4,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' Philippines',' Philippines',' Not in universe',' Not in universe',' All other',' Foreign born- U S citizen by naturalization',' Philippines',(-inf-212.5],' Asian or Pacific Islander',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(27.5-31.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Sales',(52-inf),(0.5-18.5],' Manufacturing-durable goods',' Private',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' Black',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Prof school degree (MD DDS DVM LLB JD)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(52-inf),(0.5-18.5],' Other professional services',' Private',' Male',(7364-inf),' Yes',3,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' High school graduate',(31.5-66.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Technicians and related support',(52-inf),(0.5-18.5],' Public administration',' Federal government',' Male',(-inf-7364],' Yes',3,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(27.5-31.5],' Single',' Child 18 or older',' Child 18+ never marr Not in a subfamily',' Never married',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Agriculture',' Private',' Male',(-inf-7364],' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(-inf-38.5],' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',1,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' High school graduate',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Precision production craft & repair',(52-inf),(32.5-inf),' Manufacturing-durable goods',' Self-employed-not incorporated',' Male',(7364-inf),' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' High school graduate',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Precision production craft & repair',(52-inf),(32.5-inf),' Utilities and sanitary services',' Private',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(31.5-66.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(52-inf),(0.5-18.5],' Education',' Local government',' Female',(-inf-7364],' No',4,' MSA to MSA',' Same county',' Same county',' No',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' Scotland',' Not in universe',' Northeast',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',2,' Not in universe',' New Mexico',(1.5-inf),' Not in universe',above
' Some college but no degree',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Sales',(-inf-52],(0.5-18.5],' Wholesale trade',' Private',' Male',(-inf-7364],' Yes',4,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Masters degree(MA MS MEng MEd MSW MBA)',(31.5-66.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(52-inf),(0.5-18.5],' Construction',' Private',' Male',(-inf-7364],' Yes',4,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(27.5-31.5],' Joint both under 65',' Spouse of householder',' Spouse of householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Finance insurance and real estate',' Private',' Female',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' Germany',' Germany',' Not in universe',' Not in universe',' All other',' Foreign born- U S citizen by naturalization',' Germany',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Masters degree(MA MS MEng MEd MSW MBA)',(31.5-66.5],' Head of household',' Householder',' Householder',' Divorced',2,' Not in universe',' Executive admin and managerial',(52-inf),(0.5-18.5],' Other professional services',' Self-employed-not incorporated',' Female',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Doctorate degree(PhD EdD)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(52-inf),(0.5-18.5],' Manufacturing-durable goods',' Private',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' China',' China',' Not in universe',' Not in universe',' All other',' Foreign born- U S citizen by naturalization',' Taiwan',(-inf-212.5],' Asian or Pacific Islander',2,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(52-inf),(0.5-18.5],' Manufacturing-durable goods',' Private',' Male',(-inf-7364],' Yes',3,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(1881.5-inf),(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Doctorate degree(PhD EdD)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(-inf-52],(0.5-18.5],' Education',' State government',' Male',(-inf-7364],' Yes',5,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(1881.5-inf),(47.5-inf),' Not in universe',' Germany',' Scotland',' Not in universe',' Not in universe',' All other',' Foreign born- U S citizen by naturalization',' Germany',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Prof school degree (MD DDS DVM LLB JD)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(-inf-52],(0.5-18.5],' Other professional services',' Self-employed-incorporated',' Male',(-inf-7364],' Yes',3,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(1881.5-inf),(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',2,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' High school graduate',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Farming forestry and fishing',(52-inf),(32.5-inf),' Agriculture',' Self-employed-not incorporated',' Male',(-inf-7364],' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Bachelors degree(BA AB BS)',(66.5-inf),' Single',' Householder',' Nonfamily householder',' Widowed',2,' Not in universe',' Not in universe',(52-inf),(-inf-0.5],' Not in universe or children',' Not in universe',' Female',(7364-inf),' Yes',0,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(-inf-38.5],' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(-inf-1.5],' Not in universe',above
' Masters degree(MA MS MEng MEd MSW MBA)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(52-inf),(0.5-18.5],' Utilities and sanitary services',' Local government',' Male',(-inf-7364],' Yes',6,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Some college but no degree',(31.5-66.5],' Single',' Householder',' Nonfamily householder',' Never married',2,' Not in universe',' Protective services',(-inf-52],(18.5-32.5],' Public administration',' Local government',' Male',(-inf-7364],' Yes',3,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Some college but no degree',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Executive admin and managerial',(-inf-52],(0.5-18.5],' Finance insurance and real estate',' Private',' Male',(-inf-7364],' Yes',2,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' No',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Masters degree(MA MS MEng MEd MSW MBA)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Sales',(-inf-52],(18.5-32.5],' Manufacturing-nondurable goods',' Private',' Male',(-inf-7364],' Yes',4,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Yes',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(1628.5-inf),' White',1,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Prof school degree (MD DDS DVM LLB JD)',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',2,' Not in universe',' Professional specialty',(-inf-52],(0.5-18.5],' Medical except hospital',' Self-employed-not incorporated',' Male',(-inf-7364],' Yes',1,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' Not in universe',' Not in universe',(1.5-inf),' Not in universe',above
' Some college but no degree',(31.5-66.5],' Joint both under 65',' Householder',' Householder',' Married-civilian spouse present',1,' Not in universe',' Executive admin and managerial',(52-inf),(0.5-18.5],' Manufacturing-durable goods',' Private',' Male',(-inf-7364],' Yes',5,' Nonmover',' Nonmover',' Nonmover',' Not in universe',(-inf-1881.5],(47.5-inf),' Not in universe',' United-States',' United-States',' Not in universe',' Not in universe',' All other',' Native- Born in the United States',' United-States',(-inf-212.5],' White',0,' No',' Not in universe',(1.5-inf),' Not in universe',above
